heading--2eONR,content--3JNQz,description--2-ez3,price--3SnqI
820 Sft- Flat - Sell,"বেড: ২, বাথ: ২","ঢাকা বিভাগ, ফ্ল্যাট বিক্রয়","৳ ৫,০০০ প্রতি স্কয়ার ফুট"
"Brand New 1600sft. Flat @ Niketon, Gulshan-1","বেড: ৩, বাথ: ৩","ঢাকা, ফ্ল্যাট বিক্রয়","৳ ১,৭৫,০০,০০০ সর্বমোট মূল্য"
বসবাস উপযোগী রেডি প্লট বুকিং চলছে,৫.০ কাঠা,"খুলনা, জমি বিক্রয়","৳ ২,৮০,০০০ প্রতি কাঠা"
"Luxury Flat For Sale at Bosila Developer City Mohammadpur, Dhaka-1229","বেড: ৩, বাথ: ৩","ঢাকা, ফ্ল্যাট বিক্রয়","৳ ১,১৫,০০,০০০ সর্বমোট মূল্য"
Luxury Full Furnished Ready to Move 1603 Sft Apt: Is For Rent in Banani,"বেড: ৩, বাথ: ৩","ঢাকা, ফ্ল্যাট ভাড়া","৳ ১,৩০,০০০ প্রতি মাসে"
Full Furnished 2700 sq.ft 3beds Apartment For Rent In Gulshan2,"বেড: ৩, বাথ: ৪","ঢাকা, ফ্ল্যাট ভাড়া","৳ ১,৩০,০০০ প্রতি মাসে"
Lake view : with Luxury Furniture Flat For Rent in Gulshan 2,"বেড: ৪, বাথ: ৪","ঢাকা, ফ্ল্যাট ভাড়া","৳ ৩,৫০,০০০ প্রতি মাসে"
WELL INTERIOR DESIGNED AND PARTIAL FURNISHED OFFICE ROOM FOR RENT,"১,৩৫০ বর্গফুট","ঢাকা, কমার্শিয়াল প্রপার্টি ভাড়া","৳ ৫৫,০০০ /মাস"
Spacious 5000sq.ft Duplex Apartment for rent in Gulshan Dhaka,"বেড: ৪, বাথ: ৪","ঢাকা, ফ্ল্যাট ভাড়া","৳ ২,৫০,০০০ প্রতি মাসে"
"Uttara 3rd Phase Sector 15/a, Corner Plot For Sale",৩.০ কাঠা,"ঢাকা, জমি বিক্রয়","৳ ৪,৫০,০০,০০০ সর্বমোট মূল্য"
Center of Nikunja - 2 Corner Plot,২.৫ কাঠা,"ঢাকা, জমি বিক্রয়","৳ ৫,২৫,০০,০০০ সর্বমোট মূল্য"
৫.৫ কাঠা বাড়ি সহ জমি বিক্রি। Industrial and Residents,"বেড: ৩, বাথ: ১","ঢাকা, বাড়ি বিক্রয়","৳ ২,০০,০০,০০০"
3-Bedroom Apartment For Rent in Prime Uttara Location,"বেড: ৩, বাথ: ৩","ঢাকা, ফ্ল্যাট ভাড়া","৳ ৪০,০০০ প্রতি মাসে"
"আশুলিয়া ""নাভানা ভ্যালী"" প্রকল্পে ২.৫০ কাঠা সাইজের প্লট বিক্রয়",২.৫ কাঠা,"ঢাকা, জমি বিক্রয়","৳ ৫০,০০,০০০ সর্বমোট মূল্য"
"আশুলিয়া ""নাভানা ভ্যালী"" প্রকল্পে ব্লক বি ৪ কাঠা প্লট বিক্রয়",৪.০ কাঠা,"ঢাকা, জমি বিক্রয়","৳ ৩৮,০০,০০০ সর্বমোট মূল্য"
1450 Sft_3 Bed_ For Sale @ Lalmatia Block E,"বেড: ৩, বাথ: ৩","ঢাকা, ফ্ল্যাট বিক্রয়","৳ ১,৯৫,০০,০০০ সর্বমোট মূল্য"
লালমাটিয়া 'ই' ব্লক_৩ বেড_১৪৫০ বঃ ফুঃ_নতুন অব্যবহৃত ফ্ল্যাট বিক্রয়,"বেড: ৩, বাথ: ৩","ঢাকা, ফ্ল্যাট বিক্রয়","৳ ১,৯৫,০০,০০০ সর্বমোট মূল্য"
উত্তরা সেক্টর # ১৩_দক্ষিণ মুখী_১৬০০ বঃ ফুঃ ব্যবহৃত ফ্ল্যাট বিক্রয়,"বেড: ৩, বাথ: ৩","ঢাকা, ফ্ল্যাট বিক্রয়","৳ ১,৫৫,০০,০০০ সর্বমোট মূল্য"
4 Bed_2900 Sft_luxury Apartment For Sale @ Bashundhara D Block,"বেড: ৪, বাথ: ৪","ঢাকা, ফ্ল্যাট বিক্রয়","৳ ২,৭৫,০০,০০০ সর্বমোট মূল্য"
গ্রীন রোড ৩ বেড ১৩৯০ বর্গফুট অ্যাপার্টমেন্ট বিক্রয়,"বেড: ৩, বাথ: ৩","ঢাকা, ফ্ল্যাট বিক্রয়","৳ ১,৫২,০০,০০০ সর্বমোট মূল্য"
Exclusive South Facing 2763 Sft Flat For Sale @ Gulshan 1,"বেড: ৪, বাথ: ৩","ঢাকা, ফ্ল্যাট বিক্রয়","৳ ৩,৮০,০০,০০০ সর্বমোট মূল্য"
Semi Furnished 2900_sft_ 4 Bed _Flat_For sale @ Uttara Sector 7,"বেড: ৪, বাথ: ৪","ঢাকা, ফ্ল্যাট বিক্রয়","৳ ৩,২০,০০,০০০ সর্বমোট মূল্য"
বসুন্ধরা সংলগ্ন অ্যাপোলো লিংক রোড ৩ বেড ১৬৬০ বর্গফুট ফ্ল্যাট বিক্রয়,"বেড: ৩, বাথ: ৩","ঢাকা, ফ্ল্যাট বিক্রয়","৳ ১,৩০,০০,০০০ সর্বমোট মূল্য"
বায়তুল আমান হাউজিং ১৪৯৫ বর্গফুট ৩ বেড অ্যাপার্টমেন্ট বিক্রয়,"বেড: ৩, বাথ: ৩","ঢাকা, ফ্ল্যাট বিক্রয়","৳ ৯৭,০০,০০০ সর্বমোট মূল্য"
Brand New 5800 Sq Ft Luxury Apartment with Gym/pool For Rent in Gulshan,"বেড: ৪, বাথ: ৫","ঢাকা, ফ্ল্যাট ভাড়া","৳ ৫,০০,০০০ প্রতি মাসে"
